Table,Column,Data Type,Is Nullable,Max Length
__EFMigrationsHistory,MigrationId,nvarchar,NO,150
__EFMigrationsHistory,MigrationId,nvarchar,NO,150
__EFMigrationsHistory,MigrationId,nvarchar,NO,150
__EFMigrationsHistory,MigrationId,nvarchar,NO,150
__EFMigrationsHistory,MigrationId,nvarchar,NO,150
__EFMigrationsHistory,MigrationId,nvarchar,NO,150
__EFMigrationsHistory,MigrationId,nvarchar,NO,150
__EFMigrationsHistory,MigrationId,nvarchar,NO,150
__EFMigrationsHistory,MigrationId,nvarchar,NO,150
__EFMigrationsHistory,ProductVersion,nvarchar,NO,32
__EFMigrationsHistory,ProductVersion,nvarchar,NO,32
__EFMigrationsHistory,ProductVersion,nvarchar,NO,32
__EFMigrationsHistory,ProductVersion,nvarchar,NO,32
__EFMigrationsHistory,ProductVersion,nvarchar,NO,32
__EFMigrationsHistory,ProductVersion,nvarchar,NO,32
__EFMigrationsHistory,ProductVersion,nvarchar,NO,32
__EFMigrationsHistory,ProductVersion,nvarchar,NO,32
__EFMigrationsHistory,ProductVersion,nvarchar,NO,32
assessor,Id,uniqueidentifier,NO,
assessor,IsAdmin,bit,NO,
assessor,EscritorioId,uniqueidentifier,YES,
assessor,PessoaId,uniqueidentifier,YES,
assessor,CreatedOn,datetime2,NO,
assessor,LastModifiedOn,datetime2,YES,
assessor,ModifiedByUserId,uniqueidentifier,YES,
assessor,Nome,nvarchar,YES,-1
assessor,CreatedByUserId,uniqueidentifier,YES,
assessor,DeletedByUserId,uniqueidentifier,YES,
assessor,DeletedOn,datetime2,YES,
assessor,RowVersion,timestamp,NO,
assessor,Email,nvarchar,YES,-1
AtualizacoesParaInvestidores,Id,uniqueidentifier,NO,
AtualizacoesParaInvestidores,CreatedAt,datetime2,NO,
AtualizacoesParaInvestidores,CampanhaId,int,NO,
AtualizacoesParaInvestidores,Titulo,nvarchar,NO,-1
AtualizacoesParaInvestidores,Conteudo,nvarchar,NO,-1
AtualizacoesParaInvestidores,Tipo,int,NO,
campaign,id,int,NO,
campaign,CNPJ,nvarchar,NO,-1
campaign,name,nvarchar,NO,-1
campaign,target,decimal,YES,
campaign,sector,nvarchar,YES,-1
campaign,maxInvest,decimal,YES,
campaign,logo,nvarchar,YES,-1
campaign,cover,nvarchar,YES,-1
campaign,status,nvarchar,YES,-1
campaign,start,datetime2,YES,
campaign,dueDate,datetime2,YES,
campaign,createdAt,datetime2,YES,
campaign,slug,nvarchar,NO,-1
campaign,type,nvarchar,YES,-1
campaign,juros,nvarchar,YES,-1
campaign,ofName,nvarchar,YES,-1
campaign,closedAt,datetime2,YES,
campaign,metadescription,nvarchar,YES,-1
campaign,isPrivate,bit,NO,
campaign,RentabilidadeAlvo,nvarchar,YES,-1
campaign,ValuationDaRodada,decimal,NO,
campaign,ValuationPreMoney,decimal,NO,
campaign,isListadaBee4,bit,NO,
campaign,TipoLiquidacaoCampanha,int,YES,
campaign,IdDoTermoDeAcordoContratoDeInvestimento,nvarchar,YES,-1
campaign,OndeFicaNoInformeDeRendimentos,int,YES,
campaign,CnpjDaEmpresaNoInformeDeRendimentos,nvarchar,YES,-1
campaign,NomeDaEmpresaNoInformeDeRendimentos,nvarchar,YES,-1
campaign,AnoDeSaidaPraBee4,int,YES,
campaign,AnoDeTransicaoDaSocioOstensiva,int,YES,
campaign,CnpjDaSocioOstensiva,nvarchar,YES,-1
campaign,NomeDaSocioOstensiva,nvarchar,YES,-1
campaign,enviarEmailAposInvestimento,bit,YES,
campaign,gerarContratoAposInvestimento,bit,YES,
campaign,CepCompanhia,nvarchar,YES,-1
campaign,CidadeDaEmpresaParaAssinaturaDoContrato,nvarchar,YES,-1
campaign,DataDaDeliberacaoDeEmissaoDasAcoes,datetime2,YES,
campaign,DeliberacaoDeEmissaoDasAcoes,nvarchar,YES,-1
campaign,EnderecoCompanhia,nvarchar,YES,-1
campaign,EspecieDeAcoes,nvarchar,YES,-1
campaign,NomeEmpresarialDaCompanhia,nvarchar,YES,-1
campaign,PorcentagemDestinadaAoCapitalSocial,decimal,YES,
campaign,PorcentagemDestinadaParaFormacaoDeReservas,decimal,YES,
campaign,QuantidadeAcoesParaVenda,int,YES,
campaign,QuantidadeDeAcoesDeOutrasRodadas,int,YES,
campaign,QuantidadeMinimaDeAcoesParaComprar,int,YES,
campaign,QuantidadeTotalDeAcoesDaEmpresa,int,YES,
campaign,TipoSocietario,int,YES,
campaign,UnidadeFederativaDaEmpresaParaAssinaturaDoContrato,nvarchar,YES,-1
campaign,ValorPorAcao,decimal,YES,
campaign,ValorDoLoteAdicional,decimal,YES,
campanha_contrato_item,Id,uniqueidentifier,NO,
campanha_contrato_item,CampanhaId,int,NO,
campanha_contrato_item,Item,nvarchar,NO,-1
campanha_contrato_item,SubItem,nvarchar,NO,-1
campanha_contrato_item,Texto,nvarchar,NO,-1
campanha_filadeespera,id,int,NO,
campanha_filadeespera,InvestidorId,uniqueidentifier,NO,
campanha_filadeespera,campaign_id,int,NO,
campanha_filadeespera,value,decimal,NO,
campanha_filadeespera,createdAt,datetime2,NO,
campanha_filadeespera,status,nvarchar,NO,-1
CampanhaDadosComplementares,Id,int,NO,
CampanhaDadosComplementares,NomeEmpresarialDaCompanhia,nvarchar,NO,-1
CampanhaDadosComplementares,DataDaDeliberacaoDeEmissaoDasAcoes,datetime2,NO,
CampanhaDadosComplementares,ValorPorAcao,decimal,NO,
CampanhaDadosComplementares,PorcentagemDestinadaAoCapitalSocial,decimal,NO,
CampanhaDadosComplementares,PorcentagemDestinadaParaFormacaoDeReservas,decimal,NO,
CampanhaDadosComplementares,EspecieDeAcoes,nvarchar,NO,-1
CampanhaDadosComplementares,DeliberacaoDeEmissaoDasAcoes,nvarchar,NO,-1
CampanhaDadosComplementares,CidadeDaEmpresaParaAssinaturaDoContrato,nvarchar,NO,-1
CampanhaDadosComplementares,UnidadeFederativaDaEmpresaParaAssinaturaDoContrato,nvarchar,NO,-1
CampanhaDadosComplementares,CreatedOn,datetime2,NO,
CampanhaDadosComplementares,CreatedByUserId,uniqueidentifier,YES,
CampanhaDadosComplementares,LastModifiedOn,datetime2,YES,
CampanhaDadosComplementares,ModifiedByUserId,uniqueidentifier,YES,
CampanhaDadosComplementares,DeletedOn,datetime2,YES,
CampanhaDadosComplementares,DeletedByUserId,uniqueidentifier,YES,
CampanhaDadosComplementares,RowVersion,timestamp,NO,
CampanhaDadosComplementares,QuantidadeAcoesParaVenda,int,NO,
CampanhaDadosComplementares,QuantidadeMinimaDeAcoesParaComprar,int,NO,
CampanhaDadosComplementares,QuantidadeTotalDeAcoesDaEmpresa,int,NO,
CampanhaDadosComplementares,CepCompanhia,nvarchar,NO,-1
CampanhaDadosComplementares,EnderecoCompanhia,nvarchar,NO,-1
CampanhaDadosComplementares,TipoSocietario,int,NO,
CampanhaDadosComplementares,QuantidadeDeAcoesDeOutrasRodadas,int,YES,
CampanhaInformacoesDaBee4,Id,int,NO,
CampanhaInformacoesDaBee4,UltimaVariacaoDoPregao,decimal,NO,
CampanhaInformacoesDaBee4,PrecoDoUltimoNegocio,decimal,NO,
CampanhaInformacoesDaBee4,VolumeNegociado,decimal,NO,
CampanhaInformacoesDaBee4,DataDaUltimaAtualizacao,datetime2,NO,
CampanhaInformacoesDaBee4,CreatedOn,datetime2,NO,
CampanhaInformacoesDaBee4,CreatedByUserId,uniqueidentifier,YES,
CampanhaInformacoesDaBee4,LastModifiedOn,datetime2,YES,
CampanhaInformacoesDaBee4,ModifiedByUserId,uniqueidentifier,YES,
CampanhaInformacoesDaBee4,DeletedOn,datetime2,YES,
CampanhaInformacoesDaBee4,DeletedByUserId,uniqueidentifier,YES,
CampanhaInformacoesDaBee4,RowVersion,timestamp,NO,
Contrato,Id,uniqueidentifier,NO,
Contrato,InvestimentoId,int,NO,
Contrato,CampanhaId,int,NO,
Contrato,ConteudoContrato,nvarchar,YES,-1
Contrato,HashConteudoContrato,nvarchar,YES,-1
Contrato,VersaoContrato,int,NO,
Contrato,TipoContrato,int,NO,
Contrato,DataAssinaturaContrato,datetimeoffset,NO,
Contrato,AssinadoPorUserId,uniqueidentifier,NO,
Contrato,NomeUsuarioAssinatura,varchar,YES,200
Contrato,IpDoUsuario,varchar,YES,200
Contrato,ledger_start_transaction_id,bigint,NO,
Contrato,ledger_start_sequence_number,bigint,NO,
Contrato_Ledger,Id,uniqueidentifier,NO,
Contrato_Ledger,InvestimentoId,int,NO,
Contrato_Ledger,CampanhaId,int,NO,
Contrato_Ledger,ConteudoContrato,nvarchar,YES,-1
Contrato_Ledger,HashConteudoContrato,nvarchar,YES,-1
Contrato_Ledger,VersaoContrato,int,NO,
Contrato_Ledger,TipoContrato,int,NO,
Contrato_Ledger,DataAssinaturaContrato,datetimeoffset,NO,
Contrato_Ledger,AssinadoPorUserId,uniqueidentifier,NO,
Contrato_Ledger,NomeUsuarioAssinatura,varchar,YES,200
Contrato_Ledger,IpDoUsuario,varchar,YES,200
Contrato_Ledger,ledger_transaction_id,bigint,NO,
Contrato_Ledger,ledger_sequence_number,bigint,NO,
Contrato_Ledger,ledger_operation_type,int,NO,
Contrato_Ledger,ledger_operation_type_desc,nvarchar,NO,6
ContratoItems,Id,uniqueidentifier,NO,
ContratoItems,CampanhaId,int,NO,
ContratoItems,Item,nvarchar,NO,-1
ContratoItems,SubItem,nvarchar,NO,-1
ContratoItems,Texto,nvarchar,NO,-1
Contratos,Id,int,NO,
Contratos,Texto,varchar,YES,-1
Contratos,CreatedOn,datetime2,NO,
Contratos,LastModifiedOn,datetime2,YES,
Contratos,ModifiedByUserId,uniqueidentifier,YES,
Contratos,CreatedByUserId,uniqueidentifier,YES,
Contratos,DeletedByUserId,uniqueidentifier,YES,
Contratos,DeletedOn,datetime2,YES,
Contratos,RowVersion,timestamp,NO,
convite,Id,uniqueidentifier,NO,
convite,CPF,nvarchar,YES,-1
convite,Nome,nvarchar,NO,-1
convite,Status,int,NO,
convite,AssessorId,uniqueidentifier,NO,
convite,Email,varchar,YES,200
convite,Celular,nvarchar,YES,-1
convite,CNPJ,varchar,YES,20
convite,Razao_Social,varchar,YES,120
